RAJ2000,DEJ2000,Jmag,Hmag,Kmag,Date
6.556510,85.126495,15.996,15.188,15.145,1999-10-19
6.607953,85.146049,13.822,13.563,13.498,1999-10-19
6.603277,85.135956,16.845,15.736,15.439,1999-10-19
6.660384,85.129776,15.617,15.301,15.457,1999-10-19
6.745198,85.160950,16.323,15.066,15.467,1999-10-19
6.692477,85.140976,16.266,15.577,15.231,1999-10-19
6.808823,85.141418,15.652,15.423,15.191,1999-10-19
6.769364,85.137291,14.473,14.137,14.160,1999-10-19
6.763370,85.157478,14.418,14.025,13.930,1999-10-19
6.847877,85.141853,15.454,14.794,14.507,1999-10-19
6.854780,85.173027,16.369,15.474,15.570,1999-10-19
6.877306,85.135849,15.322,14.884,15.233,1999-10-19
6.882735,85.158081,13.123,12.833,12.777,1999-10-19
6.898275,85.175529,16.497,15.681,15.364,1999-10-19
6.917358,85.169914,15.173,14.519,14.357,1999-10-19
6.983260,85.138680,14.365,14.039,14.027,1999-10-19
6.939347,85.177902,13.413,13.200,13.173,1999-10-19
7.051322,85.127876,11.763,11.264,11.172,1999-10-19
7.006330,85.186340,15.950,15.226,15.200,1999-10-19
7.116616,85.169182,16.509,15.375,15.959,1999-10-19
7.162748,85.182777,14.151,13.584,13.346,1999-10-19
7.174758,85.183876,16.637,15.577,15.022,1999-10-19
7.153941,85.174759,14.421,14.110,14.003,1999-10-19
7.279591,85.147659,16.626,15.790,15.708,1999-10-19
7.328983,85.171638,15.069,14.965,14.740,1999-10-19
7.351904,85.125740,14.052,13.520,13.417,1999-10-19
7.319288,85.130150,14.240,14.018,14.052,1999-10-19
7.475424,85.163383,16.380,16.028,16.267,1999-10-19
7.479960,85.141632,15.777,15.372,15.280,1999-10-19
7.545449,85.163864,14.374,13.905,13.887,1999-10-19
7.533991,85.155350,13.669,13.251,13.247,1999-10-19
7.590148,85.135170,16.642,15.953,14.586,1999-10-19
7.778276,85.147079,11.518,11.148,11.021,1999-10-19
7.869006,85.131950,15.563,15.094,14.965,1999-10-19
7.906572,85.141487,14.546,14.164,14.047,1999-10-19
7.961494,85.133240,7.466,6.599,6.400,1999-10-19
8.006092,85.160851,16.466,15.981,15.064,1999-10-19
8.021278,85.183159,15.194,14.951,14.798,1999-10-19
8.121286,85.172913,16.847,16.494,15.793,1999-10-19
8.144145,85.129799,15.719,15.172,15.033,1999-10-19
8.130478,85.166672,15.034,14.409,14.211,1999-10-19
8.190391,85.174515,16.602,15.966,16.041,1999-10-19
8.243019,85.127579,14.874,14.353,14.184,1999-10-19
